Measure,Time,Band,Cluster,Normative_Mean,Normative_Std,diff,tCI_5,tCI_95,corr,cor_5,corr_95,cv,cv_5,cv_95,ICC,ICC_5,ICC_95,SEM
ERSP,120 - 180,25 - 35,Anterior-Frontal Left,0.020353616998944488,0.04765356319025948,-0.0005054589249422,-0.01,0.01,0.4678794136360841,0.24,0.65,352.86218790190236,297.51900996095316,408.2053658428514,0.4712792774528155,0.24,0.65,0.0371361967302437
ERSP,120 - 180,25 - 35,Anterior-Frontal Midline,0.02384853089997535,0.05282066133630439,0.0054884157387855,-0.01,0.02,0.6032914614426571,0.41,0.75,49.28096226410402,41.492588988713926,57.069335539494126,0.6015168568489617,0.41,0.74,0.0341128905527855
ERSP,120 - 180,25 - 35,Anterior-Frontal Right,0.015028223773193026,0.046476351950618354,0.0021986748078851,-0.01,0.02,0.4022081658667401,0.16,0.6,37.07876960537289,31.201821804856504,42.955717405889246,0.401775193943083,0.16,0.6,0.0348546089136329
ERSP,120 - 180,25 - 35,Centro-Parietal Left,0.05085966599776378,0.07648798906059165,0.0132928171509866,-0.0,0.03,0.7503842853281871,0.61,0.85,140.9748049850475,118.82295198370284,163.12665798639222,0.7412836963208105,0.6,0.84,0.038990766020278
ERSP,120 - 180,25 - 35,Centro-Parietal Midline,0.029367194874407507,0.05463624574835509,0.0029896939511757,-0.01,0.02,0.5616067638830662,0.35,0.72,-6.394624821051813,-5.461636415025574,-7.3276132270780625,0.5614069516017918,0.35,0.72,0.0372169640881411
ERSP,120 - 180,25 - 35,Centro-Parietal Right,0.009804993579831426,0.04453718921150143,0.0068341719774702,-0.01,0.02,0.4733505427667461,0.24,0.65,-82.40681446056233,-69.56681558999212,-95.24681333113251,0.4707250460328586,0.24,0.65,0.0339244051737213
ERSP,120 - 180,25 - 35,Fronto-Central Left,0.028844551756945714,0.048644301820017714,0.0049804341576509,-0.01,0.02,0.6034761055076714,0.41,0.75,229.16390172682276,193.1975736690041,265.1302297846416,0.599166493059972,0.4,0.74,0.0311016257362024
ERSP,120 - 180,25 - 35,Fronto-Central Midline,0.04801814035822006,0.06276994887126179,0.010198700514853,-0.0,0.02,0.7013243582030131,0.54,0.81,170.1937555301458,143.46486887731115,196.9226421829805,0.6970212636656996,0.54,0.81,0.0384271690721984
ERSP,120 - 180,25 - 35,Fronto-Central Right,0.022026504424153125,0.04370709785653358,0.0023966291177912,-0.01,0.01,0.5630986044673538,0.35,0.72,31.913783088413687,26.845910106006414,36.981656070820954,0.5657176583655926,0.36,0.72,0.0307472382437105
ERSP,120 - 180,25 - 35,Occipital Midline,0.011661441985124435,0.03562166132800854,0.0118411705353331,0.0,0.02,0.3657700140066041,0.12,0.57,-578.2775619309272,-487.7613612933465,-668.7937625685078,0.3516817340833579,0.11,0.56,0.0305272677743173
